claim_id,claim_text,estimator,scale,model_scope,evidence_for,evidence_against,validation_status,replication_status,allowed_wording,prohibited_wording,source_paths
C01,D-full reproduces clean cubic and ridge fixture mean-curvature rank and direction under the recovered unaveraged raw-decode formula.,D-full,"d=16; 400 epochs; hidden 250^3 SiLU",synthetic fixtures,R2 rho=0.939 cosine=0.994; R3 rho=0.990 cosine=1.000; formula flags H_is_averaged=false F_normalized=false,R1 Swiss rho=0.654 vs historical 0.553,supported_with_swiss_discrepancy,fixture_reproduction_not_independent_data,historical pointwise full Euclidean decoder mean curvature,validated residual curvature; 1/d-averaged H,outputs/geometry/pointwise_decoder_curvature_reproduction/reproduction_cells.csv; outputs/geometry/pointwise_decoder_curvature_reproduction/decision.json
C02,On nearly spherical normalized immersions D-full magnitude is a degenerate rank target even when the vector is recovered.,D-full,d=16 D=28 F0/F4,synthetic spheres,F4 ||H^E|| CV=0.00158 marked rank_target_degenerate; cosine=0.999; residualized rho=-0.034,F4 Spearman of ||H^E|| is not a pass/fail metric,supported,fixture_only,sphere rank target degenerate; vector recovery,D-full failed because Spearman was low,outputs/geometry/known_curvature_estimator_operating_characteristics/dynamic_range.csv; outputs/geometry/known_curvature_dual_estimator_robustness/decoder_full_metrics.csv
C03,D-residual recovers sphere-relative mean curvature and intrinsic Scal on matched fixtures.,D-residual,"d=16 D=28; unaveraged H^S in dual tables",F0/F4,F0 energy_frac=0.000964; F4 rho(H^S)=0.819; Scal rho=0.862,historical D-full gates still fail,supported,matched_fixture,fixture-validated pointwise sphere-residual decoder curvature,Q; D-full,outputs/geometry/known_curvature_dual_estimator_robustness/decoder_residual_metrics.csv
C04,D-residual rank information degrades under noise and sparse non-uniform sampling but retains most of the clean correlation.,D-residual,same F4 operating curve,synthetic F4,clean 0.819; combined-stress 0.737 retained 0.90; sampling r_rel=0.829 f_ceiling=0.88,sparsest quintile rho=0.39 on S2,supported_stress_sensitive,fixture_repeats,useful but stress sensitive,invalid under noise,outputs/geometry/known_curvature_estimator_operating_characteristics/operating_curves.csv; outputs/geometry/known_curvature_estimator_operating_characteristics/repeat_reliability.csv
C05,Q is not a validated pointwise manifold-curvature tensor.,Q K_H and K_dir,"k=1024 fixtures; k=2048 ViT-B",fixtures+ViT-B,T2 tensor cosine=0.618 below 0.80 gate; pointwise Q gates false; PCA tangent is principal loss,Q1 with exact frame recovers T2 rho(K_dir)=0.932,unsupported_as_pointwise_tensor,n/a,split-half finite-patch sphere-normal quadratic-bending statistic,validated pointwise curvature; intrinsic curvature,outputs/geometry/known_curvature_dual_estimator_robustness/decision.json; outputs/geometry/known_curvature_instrument_failure_localization/decision.json
C06,Q K_H^cross carries moderate rank information versus the sampling-matched finite-patch oracle T2.,Q K_H,k=1024 F4,synthetic F4,rho(K_H^cross K_H_T2*)=0.523; tensor cosine=0.618,combined-stress rho=0.070; sampling r_rel=0.204,supported_moderate,fixture_single_draw_plus_weak_repeats,moderate finite-patch rank statistic,accurate tensor recovery,outputs/geometry/known_curvature_estimator_operating_characteristics/operating_curves.csv; outputs/geometry/known_curvature_dual_estimator_robustness/quadratic_pointwise_metrics.csv
C07,Q is sampling-measure dependent (T2 vs T3) and not a density-only proxy.,Q K_H,k=1024,synthetic F4,T2-T3 cosine=0.748; partial rho after density+radius=0.607,T3 is a descriptive not primary target,supported,fixture,sampling-dependent finite-patch statistic,geometry-standardized pointwise curvature,outputs/geometry/known_curvature_dual_estimator_robustness/quadratic_T3_metrics.csv; outputs/geometry/known_curvature_estimator_operating_characteristics/null_baselines.csv
C08,On frozen ViT-B Q K_H is negatively associated with global OOF R^2 after controls.,Q K_H,"d=16 k=2048 n=512",ViT-B mag_r_desi,rho_ctl(K_H R_G^2)=-0.240484; p_ctl=3.60e-8; resampling A median=-0.226 interval excludes 0,not causal; not other encoders,supported_association,fixed_dataset_geometry_resampling_not_new_population,controlled Spearman with global OOF R^2,curvature causes worse accuracy; performance unspecified,outputs/geometry/physics_q_geometry_resampling_stability/parity.json; outputs/geometry/physics_local_probe_adaptation/parity.json
C09,On frozen ViT-B Q K_H is positively associated with global OOF MSE after controls.,Q K_H,same,ViT-B,rho_ctl(K_H MSE_G)=+0.227048; resampling A median=+0.216,sign of R^2 is the complementary statement not a conflict,supported_association,fixed_dataset_geometry_resampling,controlled Spearman with global OOF MSE,unspecified performance,outputs/geometry/physics_local_probe_adaptation/decision.json; outputs/geometry/physics_q_geometry_resampling_stability/association_stability.csv
C10,On frozen ViT-B Q K_H is positively associated with relative local adaptation after controls.,Q K_H,same,ViT-B,rho_ctl(K_H Delta_adapt)=+0.153342; p_ctl=4.98e-4; resampling A median=+0.153 sign retention 1.0,mean Delta_adapt=-0.101 so patches are worse on average,supported_relative_association,fixed_dataset_geometry_resampling,relative local-adaptation gain; smaller patch disadvantage,patch probes are better; causal readout rotation,outputs/geometry/physics_local_probe_adaptation/decision.json; outputs/geometry/physics_q_geometry_resampling_stability/decision.json
