dataset_id,registry_alias,hf_dataset,hf_revision,split,embedding_artifact,embedding_hash,representation,encoder_family,primary_family,n_full,n_geometry,embedding_dim,row_id,labels_align_exactly,alignment_note,available_labels,confounders,cached_neighbours,cached_eigensystems,cached_curvature,primary_k,inclusion_status,exclusion_reason,role,other_encoders
physics_vit_base,galaxies,Smith42/galaxies,v2.0,test,/home/angus/platonic-universe/data_hf/physics/vit_base_test.parquet,c2444a4be8c7cc0f,vit_base_galaxies,vit_base,True,86471,16384,768,galaxies test row index; geometry subset via selection.npz,True,labels.npz is row-aligned to vit_base_test.parquet; selection indexes both,"mag_r_desi,smooth_fraction,photo_z,stellar_mass,sfr","log_knn_radius,local_label_variance,local_evaluation_count",/home/angus/platonic-universe/outputs/geometry/physics_multimodel_graph_prior_quadratic/model_neighbourhoods/vit_base_kmax2048.npz,/home/angus/platonic-universe/outputs/geometry/physics_nested_dimension_curvature/cache,/home/angus/platonic-universe/outputs/geometry/physics_nested_dimension_curvature/nested_curvature_metrics.parquet,2048,included,,discovery_for_mag_r_desi; confirmatory_other_labels_same_objects,"dinov3_vitb16,clip_base,convnext_base,vit_large"
physics_dinov3_vitb16,galaxies,Smith42/galaxies,v2.0,test,/home/angus/platonic-universe/data_hf/physics/dinov3_vitb16_test.parquet,38083d0d747e7224,dinov3_vitb16,dinov3_vitb16,False,86471,86471,,same galaxies test rows as physics_vit_base,True,listed only; not mixed into the ViT-B primary replication,same as physics_vit_base,,,,,,inventory_only_other_encoder,additional encoder; primary replication is the frozen ViT-B family,inventory,
physics_clip_base,galaxies,Smith42/galaxies,v2.0,test,/home/angus/platonic-universe/data_hf/physics/clip_base_test.parquet,6d11d05005810721,clip_base,clip_base,False,86471,86471,,same galaxies test rows as physics_vit_base,True,listed only; not mixed into the ViT-B primary replication,same as physics_vit_base,,,,,,inventory_only_other_encoder,additional encoder; primary replication is the frozen ViT-B family,inventory,
physics_convnext_base,galaxies,Smith42/galaxies,v2.0,test,/home/angus/platonic-universe/data_hf/physics/convnext_base_test.parquet,f34d226b1ff134d8,convnext_base,convnext_base,False,86471,86471,,same galaxies test rows as physics_vit_base,True,listed only; not mixed into the ViT-B primary replication,same as physics_vit_base,,,,,,inventory_only_other_encoder,additional encoder; primary replication is the frozen ViT-B family,inventory,
physics_vit_large,galaxies,Smith42/galaxies,v2.0,test,/home/angus/platonic-universe/data_hf/physics/vit_large_test.parquet,d092c0ec0d96ed1c,vit_large,vit_large,False,86471,86471,,same galaxies test rows as physics_vit_base,True,listed only; not mixed into the ViT-B primary replication,same as physics_vit_base,,,,,,inventory_only_other_encoder,additional encoder; primary replication is the frozen ViT-B family,inventory,
desi_vit_base_hsc,desi,Smith42/desi_hsc_crossmatched,main,train,/home/angus/platonic-universe/data_hf/desi/desi_vit_base.parquet,9a33e229b8087d17,vit_base_hsc,vit_base,True,20465,20465,768,positional row index; desi_object_id stored in label cache,True,catalog n matches embedding n; PU convention is positional alignment of UniverseTBD embeddings to Smith42 catalogs,"Z (spec_z), r_cmodel_mag (mag_r); ZWARN stored as bool (not DESI bitmask)","log_knn_radius,local_label_variance,local_evaluation_count; ZERR/EBV secondary only",,,,2048,included,,independent_replication,"vit_base_desi (paired DESI-side ViT-B; inventory only),vit_base_desi"
jwst_vit_base_hsc,jwst,Smith42/jwst_hsc_crossmatched,main,train,/home/angus/platonic-universe/data_hf/jwst/jwst_vit_base.parquet,71d7e4d857a962a2,vit_base_hsc,vit_base,True,1496,1496,768,none in parquet; catalog has jwst_object_id / hsc_object_id,False,Smith42 catalog n=1667 vs embedding n=1496; refuse positional join,"HSC cmodel mags, mag_auto; no spec-z. a_z is extinction, not redshift",,,,,,excluded,catalog n=1667 != embedding n=1496; also underpowered for k=2048 (n*0.125<256),excluded,"vit_base_jwst,dinov3,clip,convnext,astropt,ijepa,vit-mae"
legacy_vit_base_hsc,legacysurvey,Smith42/legacysurvey_hsc_crossmatched,main,train,/home/angus/platonic-universe/data_hf/legacysurvey/legacysurvey_vit_base.parquet,79c34187856281c6,vit_base_hsc,vit_base,True,101725,101725,768,none in parquet; catalog has legacysurvey_object_id / hsc_object_id,False,hub cache present (~166G) but processed datasets cache missing; no local label table,documented HSC/Legacy photometry and EBV; no spec-z or stellar mass in the adapter,,,,,2048,excluded,Smith42 catalog not loadable from the processed HF cache in this run; embeddings have no joined labels,excluded,"vit_base_legacysurvey,dino,dinov3,convnext,vit_large"
sdss_hsc,sdss,Smith42/sdss_hsc_crossmatched,main,train,,missing,,vit_base,True,2319,0,,catalog only,False,HF catalog has Z / Z_ERR / r_cmodel_mag (n=2319); no local embedding parquet,"Z, Z_ERR, ZWARNING, VDISP, r_cmodel_mag",,,,,,excluded,no local ViT-B embeddings in data_hf,excluded,
cosmosweb_vit_base_hsc,cosmosweb,Ashodkh/cosmosweb-hsc-jwst-high-snr-pil2,,train,/home/angus/platonic-universe/data_hf/cosmosweb/hsc_embeddings_cosmosweb-hsc-jwst-high-snr-pil2_vit_base_45000.parquet,2e90b79ba24935ff,vit_base,vit_base,True,45000,45000,768,none,False,adapter CATALOG_COLUMNS documents lephare_photozs/lp_mass/lp_ssfr/mags but prepare() drops them; HF not in local cache,documented in cosmosweb.CATALOG_COLUMNS; not joined,,,,,2048,excluded,not a Smith42 catalog; labels not locally aligned,excluded,dinov3; JWST-side ViT-B
