claim_id,claim_text,estimator,decision_label,primary_number,source_path,status,allowed_wording,prohibited_wording
H1,Original ViT-B Q association between KHcross and global-probe performance exists at frozen d=16 k=2048,KHcross,claim_supported_but_scale_dependent; curvature_predicts_local_direction_adaptation,"rho16(KH,MSE)=0.2270478922763529; rho_ctl(KH,R2G)=-0.2404841119636992",outputs/geometry/physics_curvature_probe_submission_validation/decision.json; outputs/geometry/physics_q_geometry_resampling_stability/decision.json,supported_association,controlled Spearman at frozen rank and neighbourhood,universal law; intrinsic curvature
H2,Higher ViT-B KHcross corresponds to worse global-probe performance and greater relative local-adaptation benefit; patches remain worse on average,KHcross,curvature_predicts_local_direction_adaptation,"rho_ctl(KH,Delta_adapt)=+0.15334238492921803; mean Delta_adapt=-0.1011990469212172",outputs/geometry/curvature_program_synthesis/SOURCE_MANIFEST.json,supported_relative_association,relative local-adaptation gain,local probes outperform globally
H3,ViT-B Q associations survive geometry resampling and are not a single-split accident,KHcross,q_global_and_adaptation_associations_geometry_robust,32+32 refits; conditional frac_original_sign=1.0; original R2G=-0.2404841119636992,outputs/geometry/physics_q_geometry_resampling_stability/decision.json,supported_fixed_dataset_robustness,geometry-resampling stable,independent-dataset replication
H4,The Q result is rank- and neighbourhood-bandwidth-conditioned,KHcross,claim_supported_but_scale_dependent,scale_sign_frac_mid_upper=1.0; scale_magnitude_varies=true,outputs/geometry/physics_curvature_probe_submission_validation/decision.json,supported_scale_dependent,scale-dependent at d=16 k=2048,scale-invariant curvature law
H5,Cross-model Q experiments do not support one universal joint global-penalty/local-adaptation law,KHcross,representation_specific_effect,"models_with_both=[vit_base]; C_G/C_A vit_base=0.22704789227635297/0.15334238492921803; dinov3=-0.12981029199711608/-0.04471491943328641; clip=-0.27375793579267804/-0.17898726196198259; convnext=-0.18663614658793098/-0.2548593766093315; vit_large=-0.03830513069202687/+0.18130031843306899",outputs/geometry/physics_cross_model_curvature_local_adaptation/per_model_primary.json,supported_representation_specific,representation-specific KHcross associations,universal curvature law; cross-model replication of the joint law
H6,Full Kdir and trace-only KH are different; most residual bending is trace-free while the original effect is tied to the trace statistic,Kdircross vs KHcross,full_curvature_partial_cross_model_replication,"aniso_share=0.943; vitb rho(Kdir,Delta_adapt)=-0.1594762627172955 vs rho(KH,Delta_adapt)=+0.15334238492921803",outputs/geometry/curvature_program_synthesis/SOURCE_MANIFEST.json,supported_divergence,trace vs full directional statistics,KHcross tables as full curvature
H7,ViT-B local labels have held-out quadratic structure but fitted B^S is full rank in quadratic-feature space,Delta_Q / B^S,quadratic_chart_link_unresolved + audit geometry_regularized_quadratic_decoding,median_delta_Q=0.020581617601622228; median_numerical_rank=136,outputs/geometry/curvature_program_synthesis/SOURCE_MANIFEST.json,audit_interpretation,geometry-regularized quadratic decoding,genuinely low-dimensional chart constraint
H8,Pointwise D-residual is stable on matched analytic fixtures but does not reproduce the ViT-B Q global-error/adaptation story,D_residual,neither_estimator_validated internals; pointwise_residual_probe_relation_unresolved,"fixture F4 rho=0.8193223443223443; P1 rho_ctl(CH,R2G)=+0.02970575697233952",outputs/geometry/known_curvature_dual_estimator_robustness/decision.json; outputs/geometry/physics_pointwise_residual_curvature_probe_relation/decision.json,supported_distinct_estimands,fixture-validated pointwise residual; globally null vs R2G,Q story reproduced by D
H9,Leakage-safe task-aligned Q curvature predicts held-out global-probe MSE in aggregate on ViT-B with target heterogeneity,E_Q_task_aligned,quadratic_task_aligned_effect_only,"P2=0.11614541311898466 CI[0.062027437327914936,0.15559769877589985]; photo_z=+0.1740391038955837; smooth_fraction=+0.20223387735892243; stellar_mass=+0.12517032092216843; mag_r_desi=-0.03686164970073586",outputs/geometry/physics_task_aligned_curvature/decision.json,supported_aggregate_with_flip,aggregate Q task-aligned association; mag_r opposite,all labels behave identically
H10,Matching decoder task-aligned statistic is null,E_D_task_aligned,quadratic_task_aligned_effect_only,P1=-0.0016449827122028832 Holm fail,outputs/geometry/physics_task_aligned_curvature/decision.json,supported_null,decoder task-aligned energy null,D and Q estimate one identical scalar
H11,Cross-model Hessian-mismatch produced a positive mismatch-size aggregate but failed the label-Hessian reliability gate; alignment null,M_delta / A_full,label_hessian_unreliable,P1=0.10804301439243084 Holm pass; P2=-0.011993127617845984 fail,outputs/geometry/physics_cross_model_hessian_mismatch/decision.json,reliability_gate_failed,label Hessian unreliable; do not interpret P1 mechanistically,confirmed mismatch mechanism
H12,None of these results warrants causal universal intrinsic or average-local-superiority claims,multiple,multiple,see H1-H11,experiments/curvature_program/AGENT_CONTEXT.md,scope_limitation,signed associations at named estimands,causal; universal law; intrinsic manifold curvature; local probes better on average; all labels identical; cross-model replication
X1,Cross-model task-aligned Q aggregate is positive but CLIP-negative and not four-target-uniform,E_Q_task_aligned,q_task_aligned_replicates_across_models,R1=0.05794641314866791; CLIP=-0.033280059988727524,outputs/geometry/physics_cross_model_task_aligned_curvature/decision.json,supported_majority,model-majority aggregate,universal task-aligned law
X2,Cross-model D-residual supports patch degradation only,D_residual,cross_model_pointwise_patch_degradation_only,H1=-0.20682288626818188; H2=+0.008133382829219169 fail,outputs/geometry/physics_cross_model_pointwise_residual_curvature/decision.json,supported_partial,patch degradation,Q adaptation law replicated
